שם יישוב,סמל יישוב,אזור סטטיסטי 2008,שמות שכונות מרכזיות,שמות רחובות מרכזיים
באר שבע,9000,131,שכ' ד' (דרום - מזרח),"שד' רגר יצחק, אברהם אבינו, אלכסנדר ינאי, יעקב אבינו, שלמה המלך"
באר שבע,9000,132,שכ' ד' (דרום-מערב),"אלעזר בן יאיר, אברהם אבינו, יהודה הלוי, דוד המלך, בר גיורא"
באר שבע,9000,133,שכ' ד' (דרום),"דרך מצדה, מודיעין, בר גיורא, יצחק אבינו, רבי עקיבא"
באר שבע,9000,211,שכ' ו' (דרום - מזרח),"שאול המלך, יהושפט, מבצע חורב, מבצע יואב, מבצע נחשון"
באר שבע,9000,212,שכ' ו' (מרכז),"משעול מבצע יונתן, מבצע יואב, שאול המלך, רחבת מבצע ארז, דורי יעקב"
באר שבע,9000,213,שכ' ו' (צפון-מזרח),"זמורה משה, ויתקון אלפרד, דורי יעקב, דוד אלעזר, מקלף מרדכי"
באר שבע,9000,214,שכ' ו' (צפון-מערב),"ירקוני עמוס, דיין משה, שטיין ריכרד, פריץ אלברט, דוד אלעזר"
באר שבע,9000,215,שכ' ו' (צפון),"שאול המלך, רחבת פל-ים, רחבת הראל, דיין משה, דורי יעקב"
באר שבע,9000,216,שכ' ו' (דרום-מערב),"אבישי, שאול המלך, דרך מצדה, מבצע עובדה, מבצע יואב"
באר שבע,9000,221,"שכ' י""א - רמות ספיר (צפון-מזרח)","דרך מצדה, הראש, רד""ק, שאול המלך, אלפסי"
באר שבע,9000,222,"שכ' י""א - רמות ספיר (דרום-מזרח)","רחבת הרב עוזיאל, החיד""א, דרך מצדה, אברבנאל, שאול המלך"
באר שבע,9000,223,"שכ' י""א - רמות ספיר (דרום-מערב)","ארן זלמן, שיטרית, משעול פנקס דוד, דב יוסף, ישעיהו ישראל"
באר שבע,9000,224,"שכ' י""א - רמות ספיר (דרום)","ציזלינג, קדיש לוז, סבידור מנחם, ישעיהו ישראל, יערי מאיר"
באר שבע,9000,225,שכ' י''א רמות ספיר (צפון),"שרת משה, נמיר מרדכי, חזני מיכאל, הרב הרצוג, אביגור שאול"
