שם יישוב,סמל יישוב,אזור סטטיסטי 2008,שמות שכונות מרכזיות,שמות רחובות מרכזיים
באר שבע,9000,433,שכ' ה' (צפון - מערב),"רחבת מילוס, כחול לבן, העליה, שד' יעלים, יהודי סוריה"
באר שבע,9000,434,שכ' ה' (צפון - מזרח),"שד' יעלים, סטרומה, העליה, דרך המשחררים, דרך שמשון"
באר שבע,9000,511,שכ' ב' (מערב),"בני אור, דרך שמשון, דרך מצדה, מינץ, מבצע יואב"
באר שבע,9000,512,שכ' ב' (מרכז),"ביאליק, דרך מצדה, חז""ל, הסופרים, בצלאל"
באר שבע,9000,513,שכ' ב' (מזרח),"שמעוני, דרך המשחררים, ביאליק, דרך מצדה, בן יהודה"
באר שבע,9000,521,שכ' א' (צפון-מזרח),"ביאליק, מונטיפיורי, ויצמן, דרך המשחררים, אוסישקין"
באר שבע,9000,522,שכ' א' (דרום-מזרח),"שח""ל, סוקולוב, ויצמן, בלפור, ביאליק"
באר שבע,9000,523,שכ' א' (מערב),"ביאליק, מוריה, הכותל המערבי, בזל, דרך המשחררים"
באר שבע,9000,611,העיר העתיקה (מערב),"הרצל, שד' טוביהו דוד, אהוד בן גרא, העצמאות, שמחוני אסף"
באר שבע,9000,612,שכ' דרום (מזרח),"ההגנה, אימבר, הגדודים, נגבה, חטיבת הנגב"
באר שבע,9000,613,נווה נוי,"שיזף, שטה, צבר, אירוס הנגב, אטד"
באר שבע,9000,614,נחל בקע,"צביה ויצחק, פרטוש עדן, הצנחנים, בן חיים פאול, חובב משה"
באר שבע,9000,621,"אזורי תעשייה: עמק שרה, מרכז ביג, קרית יהודית","הכשרת הישוב, שד' בן גוריון, הבונים, דרך חברון, תוצרת הארץ"
באר שבע,9000,622,העיר העתיקה (מזרח),"דרך חברון, החלוץ, העצמאות, טרומפלדור, קרן קיימת לישראל"
באר שבע,9000,623,מרכז אזרחי,"שז""ר זלמן, שד' רגר יצחק, קרן היסוד, בן צבי יצחק, יחיל חיים"
באר שבע,9000,631,שכ' ג' (דרום),"המעפילים, השלום, ז'בוטינסקי זאב, שז""ר זלמן, הגאולים"
באר שבע,9000,632,שכ' ג' (מרכז),"השלום, וינגייט, גולומב, ארלוזורוב, שד' בן גוריון"
באר שבע,9000,633,שכ' ג' (צפון),"ארלוזורוב, גוש עציון, השלום, וינגייט, שד' בן גוריון"
באר שבע,9000,634,"אוניברסיטת בן גוריון, הקריה ע''ש א. ברגמן, מרכז רפואי סורוקה","וינגייט, שד' רגר יצחק, השלום, חנני חיים, שד' בן גוריון"
באר שבע,9000,641,רמות (דרום),"הדעת, המדע, ילין דוד, רנה קסן, שירמן חיים"
באר שבע,9000,642,"רמות (מרכז), רמות ד'","שד' מרש יעקב, המר זבולון, הדעת, יפה אברהם, המדע"
באר שבע,9000,643,רמות (מזרח),"אמיר אברהם, שד' האנדרטה, המרד, הכט ראובן, ברזני משה"
באר שבע,9000,644,רמות (צפון),"הר תבור, הר חרמון, הר רמון, הר כנען, הר בוקר"
באר שבע,9000,645,רמות ב',"שרשבסקי, שד' אשכול, שד' צה""ל, שד' רגר יצחק, שדרת הערים התאומות"
בית ג'ן,480,1,"אזור אלספאיה ועין לג'רון, אלמסירב, אלסוואנה, אלע'דיר וסרטבה, הגלעין הישן, משפחת קבלאן",
בית ג'ן,480,2,"אלדידבה, אלמרג', אלפוקרה, ראס אלטלעה וח'לת עמירה, שכ' חיילים משוחררים",
בית ג'ן,480,3,"אלנסיבה, אלקובע, אלרויס, ח'לת אלג'ב, חיידר",
בית שאן,9200,1,"אזור תעשייה מזרחי, העיר העתיקה, חיסכון, מרכז העיר, נוף גלעד, קדמת עדן, קרית חינוך אזור תעשייה צפוני","בן גוריון, תוצרת הארץ, ויצמן חיים, שדרות הארבעה, שאול המלך"
בית שאן,9200,2,"חלוצים, שפרינצק","מיזוג גלויות, שאול המלך, בויאר אווה, טולידנו, מרקוס"
בית שאן,9200,3,"אלי כהן, גורדון, ז'בוטינסקי, נוף הגלבוע","ידין יגאל, ירושלים הבירה, מכלוף יעקב, שאול המלך, שמש יצחק"
בית שאן,9200,4,"אליהו, טירת צבי, צמרת","ירושלים הבירה, הרצוג, שד' מנחם בגין, בלפור, אביר יעקב"
בית שמש,2610,11,אזור תעשייה צפוני,"אלון יגאל, האומן, החרש, המסגר, הצבעי"
בית שמש,2610,12,"מחסיה, פסגות השמש","דרך החיים, אלון יגאל"
בית שמש,2610,13,פסגת השבע,"סיני, החרמון, דרך רבין יצחק, בן זאב יהודה, גלעד"
בית שמש,2610,14,בית שמש הותיקה (צפון),"ארלוזורוב, זבוטינסקי, העליה, הרמב""ם, הרצל"
בית שמש,2610,15,בית שמש הותיקה (מערב),"ביאליק, העליה, השבעה, האלה, המעפילים"
בית שמש,2610,16,"הגפן, רמת לח""י, שכ' משק עזר","בן זאב יהודה, בן צבי, הנשיא, הגפן, השבעה"
בית שמש,2610,17,אזור תעשייה מערבי (ברוש),"היצירה, התעשיה, המלאכה, וירג'יניה, העמל"
בית שמש,2610,21,גבעת סביון,"הארזים, הדובדבן, הרקפת, התאנה, שד' הדקל"
בית שמש,2610,22,"גבעת שרת, נופי אביב","הנורית, היסמין, השושן, הרקפת, הנרקיס"
בית שמש,2610,23,"גני שמש, קרית בן אליעזר","בן אליעזר, אהבת ישראל, רש""י, שד' הדקל"
בית שמש,2610,24,נווה ספיר,"בר אילן, רש""י, מגן קלמן, בן גוריון פולה, רזיאל דוד"
בית שמש,2610,25,"קרית אריה שיינפלד, קרית החינוך","בן אליעזר, מעפילי אגוז, ראובן, רש""י, אשר"
בית שמש,2610,26,"נחלה ומנוחה, קרית הרב נסים (מערב)","אור שמח, אשכול לוי, שפת אמת, בן זאב יהודה, חזון איש"
בית שמש,2610,27,קרית הרב ניסים (מזרח),"אשכול לוי, בן עזאי, הרב הרצוג, חזון איש, רבי יוסי בן קיסמא"
בית שמש,2610,31,רמת בית שמש (צפון),"נהר הירדן, רבי פנחס בן יאיר, רבי דוסתאי, הרב הרצוג, רבי חלפתא בן דוסא"
בית שמש,2610,32,"קרית הרמ''א, רמת התנאים","נהר הירדן, נחוניה בן הקנה, רבי יהודה הנשיא, רבי יהושע, רשב""י"
בית שמש,2610,33,רמת בית שמש (מרכז),"נהר הירדן, רבן יוחנן בן זכאי, ריב""ל, רבי מאיר בעל הנס, רבי צדוק"
בית שמש,2610,34,"יצחק בן צבי, רמת בית שמש א' (צפון)","נהר הירדן, נחל איילון, נחל לכיש, נחל הקישון, נחל שורק"
בית שמש,2610,35,"חיים וייצמן, רמת בית שמש א' (מזרח)","נהר הירדן, נחל קטלב, נחל שמשון, נחל דולב, נחל הבשור"
בית שמש,2610,36,רמת בית שמש א' (דרום),"נחל לוז, נחל איילון, נהר הירקון, נהר הירדן, נחל רפאים"
בית שמש,2610,37,שז''ר,"נחל ערוגות, נחל עין גדי, נחל הקישון, ערבות הנחל, שד' נחל צאלים"
בית שמש,2610,38,"השחר, רמת בית שמש ג'",
ביתר עילית,3780,1,האתרוג,"רבי עקיבא, ישראל מרוז'ין, התעוררות תשובה, דברי חיים, אלעזר המודעי"
ביתר עילית,3780,2,"אזור תעשייה, הערבה","אלעזר המודעי, רבי עקיבא, חת""ם סופר, הבעל שם טוב, חזון איש"
ביתר עילית,3780,3,הדקל (דרום),"הרב צדקא יהודה, הרבי מליובאוויטש, הרב אוירבך, הבבא סאלי, יוחנן בן זכאי"
ביתר עילית,3780,4,הדקל (צפון),"הבבא סאלי, רבי נחמן מברסלב, מפעל הש""ס, הרבי מזוועהיל, חזון יצחק"
ביתר עילית,3780,5,ההדס,"מעלות רבי הילל, הדף היומי, איגרות משה, כף החיים, הרב קעניג"
ביתר עילית,3780,6,גבעה A (דרום),"פנים מאירים, המגיד ממעזריטש, הרב ברים, יסוד העבודה, פחד יצחק"
ביתר עילית,3780,7,גבעה A (צפון),"שלום רב, הר""ן, חיי יצחק, קדושת לוי, המגיד ממעזריטש"
בני ברק,6100,111,"מתחם הרכבת, פסגת רחל","תורה ומנוחה, לח""י, מבצע קדש"
בני ברק,6100,112,קרית הרצוג (מזרח),"נורוק, אביעד, אברבנאל, גרינברג, הרב ראט משולם"
בני ברק,6100,113,קרית הרצוג (צפון),"גניחובסקי, נורוק, ככר האחים מאיר, קובלסקי, צבי"
בני ברק,6100,114,קרית הרצוג (דרום),"נויפלד, נורוק, הרב מצליח, קובלסקי, אברבנאל"
בני ברק,6100,115,קרית הרצוג (מערב),"השר אלון יגאל, אברבנאל, עמק יזרעאל, הירקון, המכבים"
בני ברק,6100,116,אזור תעשייה צפון (צפון),"הירקון, הקישון, בן גוריון דוד, הירש ברוך, מבצע קדש"
בני ברק,6100,117,אזור תעשייה צפון (דרום),"בן גוריון דוד, מצדה, ז'בוטינסקי, בר כוכבא, הירקון"
בני ברק,6100,121,תל גיבורים,"הרב יוסף חיים, בגין מנחם, הירקון, זרובבל, ז'בוטינסקי"
בני ברק,6100,122,"פרדס כ""ץ (מערב)","אבו חצירא ישראל, הרב פתאיה, אברבנאל, הירקון, המכבים"
בני ברק,6100,123,"יסודות, פרדס כץ (מזרח)","ז'בוטינסקי, אברבנאל, טרומפלדור, החלוצים, הרצל"
בני ברק,6100,211,אין שם שכונה באזור סטטיסטי זה,"חשב סופר, ז'בוטינסקי, הרב שך, אהרונוביץ ראובן, הירדן"
בני ברק,6100,212,אין שם שכונה באזור סטטיסטי זה,"הירדן, יצחק נפחא, חשב סופר, ז'בוטינסקי, הרב שך"
בני ברק,6100,213,אין שם שכונה באזור סטטיסטי זה,"סוקולוב, הרב קוטלר, רבי עקיבא, חגי, הרב שך"
בני ברק,6100,214,אין שם שכונה באזור סטטיסטי זה,"הרב שך, רבי עקיבא, מיכה, צפניה, יונה הנביא"
בני ברק,6100,221,גבעת סוקולוב (דרום),"אבטליון, רבי עקיבא, סוקולוב, יהודה הלוי, הרב שטרסר"
בני ברק,6100,222,גבעת סוקולוב (צפון),"אבן גבירול, הלוחמים, ז'בוטינסקי, שבטי ישראל, סוקולוב"
בני ברק,6100,223,גבעת רוקח,"אדמורי אלכסנדר, ז'בוטינסקי, בן פתחיה, הראשונים, רבי עקיבא"
בני ברק,6100,231,אין שם שכונה באזור סטטיסטי זה,"הרצוג, נתן הנביא, טבריה, בן גוריון דוד, מנחם"
בני ברק,6100,232,אין שם שכונה באזור סטטיסטי זה,"פוקס אהרון דב, הרב קוק, ירמיהו, בן גוריון דוד, רבי עקיבא"
בני ברק,6100,233,הר שלום,"חברון, יהושע, ירושלים, רבי עקיבא, שד' רבי טרפון"
בני ברק,6100,311,"שיכון ד' (הפועל המזרחי ב',ד')","רבי עקיבא, ירושלים, האדמו""ר מבלז, אהרונסון, בן זכאי"
בני ברק,6100,312,קרית הישיבה (צפון),"אור החיים, רש""י, רבי עקיבא, חזון איש, מהרש""ל"
בני ברק,6100,313,קרית הישיבה (דרום),"וילקומירר, חזון איש, הרב דסלר, בן זכאי, סעדיה גאון"
בני ברק,6100,314,שיכון א' (הפועל המזרחי א'),"אנילביץ, מוהליבר, יהודה הנשיא, בן זכאי, גרשטנקורן"
בני ברק,6100,315,"שיכון ג' (הפועל המזרחי ג'), שיכון ההסתדרות","בארי, בעל התניא, חזון איש, יהודה הנשיא, מרים הנביאה"
בני ברק,6100,321,קרית נדבורנא,"רשב""ם, חזון איש, עזרא, רב אסי, דבורה הנביאה"
בני ברק,6100,322,שיכון סאטמר,"בית הלל, חזון איש, נחמיה, רבי נחמן מברסלב, עזרא"
בני ברק,6100,323,קרית הישיבה (מזרח),"אלישע, הרב מלצר, חזון איש, האדמו""ר מגור, הרב כהנמן"
בני ברק,6100,411,"גני גד, שיכון ה' (הפועל המזרחי ה')","אהרונוביץ ראובן, בר אילן, ברויאר, ז'בוטינסקי, צירלסון"
בני ברק,6100,412,שיכון ה' (דרום),"ריינס, רוזנהיים, רבי חייא, בן עזאי, אהרונוביץ ראובן"
בני ברק,6100,413,רמת אהרון (צפון),"יצחק מאיר הכהן, הרב כהנמן, הרב פוברסקי, נועם אלימלך, הרב סורוצקין"
בני ברק,6100,414,רמת אהרון (דרום),"סירוקה שמעון, הרב פוברסקי, הרב כהנמן, השריונאים, אבני נזר"
בני ברק,6100,415,רמת אלחנן (מזרח),"גבורי ישראל, הרב זוננפלד יוסף, בן דוד אברהם, מתתיהו, הרב כהנמן"
בני ברק,6100,421,רמת אלחנן (מערב),"עזרא, שאול המלך, הרב כהנמן, הרב בן יעקב, שלמה המלך"
בני ברק,6100,422,שיכון אגודת ישראל,"בן דוד אברהם, רבינא, עזרא, הרב בן יעקב, מתתיהו"
בני ברק,6100,423,מרכז בעלי מלאכה (מערב),"אהבת שלום, תורת חיים, בן דוד אברהם, דמשק אליעזר, עזרא"
בני ברק,6100,424,מרכז בעלי מלאכה (צפון - מזרח),"קבוץ גלויות, הרב כהנמן, בן דוד אברהם, הרב עוזיאל, אדמורי שאץ"
בני ברק,6100,425,"מרכז בעלי מלאכה (דרום - מזרח), נווה און","קהילות יעקב, בירנבוים, הרב עוזיאל, האדמו""ר מקוצק, הרב נסים יצחק"
בני ברק,6100,426,"נווה אחיעזר א', נווה אחיעזר ב',  שיכון ו'","אורליאן, רימון, רב האי גאון, בירנבוים, נחשוני יהודה"
בני ברק,6100,427,קרית ויז'ניץ,"אמרי ברוך, דמשק אליעזר, האדמור מנדבורנא, חזון איש, האדמור מויז'ניץ"
בנימינה-גבעת עדה,9800,1,"הרחבה, יוספטל, שכ' עמידר (גבעת עדה)","הרימון ג""ע, הארזים ג""ע, ח""י ג""ע, הדקל ג""ע, הגבעה ג""ע"
בנימינה-גבעת עדה,9800,2,שכ' זבוטינסקי (בנימינה),"דרך המסילה, הגבורים, הדקל, הכרמל, המיסדים"
בנימינה-גבעת עדה,9800,3,"גבעת חן, גני בנימינה, זרעוניה, נחלת בנימין , שכ' ורבורג (בנימינה)","דרך העליה, הנביאים, החבצלת, דרך העצמאות, דרך ניל""י"
